EMM                                       abbr. 扩充内存管理程序（Expanded Memory Manager）；授权管理信息（Entitle Manage Message）；电磁测量（Electromagnetic Measurement）；电子仪器制造手册（Electronic Manufacturing Manual） n. (Emm)人名；(英)埃姆(女子教名Emma的昵称)
emergency            [ɪ'mɝdʒənsi]         n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
dome                 [dom]                n. 圆屋顶 vi. 成圆顶状 vt. 加圆屋顶于…上 n. (Dome)人名；(法)多姆
doom                 [dʊm]                n. 厄运；死亡；判决；世界末日 vt. 注定；判决；使失败 n. (Doom)人名；(泰)伦
recount              [rɪ'kaʊnt]           vt. 叙述；重新计算 n. 重算
spoil                [spɔɪl]              vt. 溺爱；糟蹋；破坏；掠夺 vi. 掠夺；变坏；腐败 n. 次品；奖品
eavesdrop            ['ivzdrɑp]           n. 屋檐上流下来的水 vi. 偷听，窃听
stole                [stol]               n. 圣衣；女用披肩 v. 偷窃，偷盗（steal的过去式）
pulse                [pʌls]               n. [电子] 脉冲；脉搏 vt. 使跳动 vi. 跳动，脉跳
quicken              ['kwɪkən]            vi. 加快；变活跃；进入胎动期 vt. 加快；鼓舞；使复活
beheld               [bɪ'hɛld]            v. 见到；观察（behold的过去式和过去分词）
behold               [bɪ'hold]            vt. 看；注视；把...视为 vi. 看 int. 瞧；看呀
exaggeration         [ɪɡ,zædʒə'reʃən]     n. 夸张；夸大之词；夸张的手法
lovemaking           ['lʌvmekɪŋ]          n. 调情，求爱；性交；寄情；求婚
discreetly           [dis'kri:t]          adv. 谨慎地；小心地；不显眼地
boldness             ['boldnɪs]           n. 大胆；冒失；显著
overheard            [,əuvə'hiə]          vt. （过去式）偶尔听到；无意中听到；偷听
bastard              ['bæstɚd]            adj. 私生的 n. 私生子 n. (Bastard)人名；(法)巴斯塔尔；(英、德、罗)巴斯塔德
dug up                                    挖出；掘起；开垦；发现
loot                 [lut]                n. 战利品；抢劫；掠夺品 vt. 抢劫，洗劫；强夺 vi. 洗劫，掠夺；抢劫
allah                ['ælə]               n. 真主；阿拉
bewildered           [bɪ'wɪldəd]          adj. 困惑的；眩 v. 使困惑（bewilder的过去分词）
bargain              [ˈbɑrɡɪn]            n. 交易；便宜货；契约 v. 讨价还价；议价；(谈价钱后)卖
extinguish           [ɪk'stɪŋɡwɪʃ]        vt. 熄灭；压制；偿清
flush                [flʌʃ]               n. 激动，洋溢；面红；萌芽；旺盛；奔流 vt. 使齐平；发红，使发亮；用水冲洗；使激动 vi. 发红，脸红；奔涌；被冲洗 adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
clumsy               ['klʌmzi]            adj. 笨拙的 笨拙地 不得当的 不得当地
fumbling             ['fʌmblɪŋ]           adj. 笨拙的；支支吾吾的 v. 摸索（fumble的ing形式）
wondrous             ['wʌndrəs]           adj. 奇妙的；令人惊奇的；非常的
inwardly             ['ɪnwɚdli]           adv. 向内地；思想上；在内部
intrigue             ['ɪn'triɡ]           n. 阴谋；诡计；复杂的事；私通 vt. 用诡计取得；激起...的兴趣 vi. 私通；密谋
ploy                 [plɔɪ]               n. 策略；活动；工作 vt. 使部队由横队变为纵队 vi. 由横队变为纵队
